subject,pipeline,Acc_mean,Acc_max,Acc_auto,Proxy_auto,n_configs,n_complete_configs,n_nan_acc
1,MMP_merge_then_adapt,0.645625,0.73125,0.73125,0.7474999999999999,24,24,0
1,BDP,0.645625,0.73125,0.73125,0.7497619047619047,24,24,0
1,BDP_bridge_to_far,0.645625,0.73125,0.7104166666666668,0.7611458333333334,24,24,0
2,MMP_merge_then_adapt,0.5672569444444444,0.595,0.5933333333333334,0.6025,24,24,0
2,BDP,0.5672569444444444,0.595,0.5879166666666666,0.6000595238095239,24,24,0
2,BDP_bridge_to_far,0.5672569444444444,0.595,0.5825,0.6055208333333333,24,24,0
3,MMP_merge_then_adapt,0.5351215277777778,0.5683333333333332,0.5570833333333333,0.5745833333333332,24,24,0
3,BDP,0.5351215277777778,0.5683333333333332,0.5504166666666667,0.5692830086580086,24,24,0
3,BDP_bridge_to_far,0.5351215277777778,0.5683333333333332,0.5612499999999999,0.5631250000000001,24,24,0
4,MMP_merge_then_adapt,0.8591443452380952,0.945,0.945,0.9174999999999999,24,24,0
4,BDP,0.8591443452380952,0.945,0.9290476190476191,0.9154718614718614,24,24,0
4,BDP_bridge_to_far,0.8591443452380952,0.945,0.9242857142857144,0.9426785714285714,24,24,0
5,MMP_merge_then_adapt,0.6762599206349206,0.7884523809523809,0.7884523809523809,0.8127380952380954,24,24,0
5,BDP,0.6762599206349206,0.7884523809523809,0.7884523809523809,0.7850595238095238,24,24,0
5,BDP_bridge_to_far,0.6762599206349206,0.7884523809523809,0.7884523809523809,0.7766369047619047,24,24,0
6,MMP_merge_then_adapt,0.7534201388888889,0.8108333333333334,0.8037500000000002,0.865,24,24,0
6,BDP,0.7534201388888889,0.8108333333333334,0.7983333333333333,0.8226041666666667,24,24,0
6,BDP_bridge_to_far,0.7534201388888889,0.8108333333333334,0.8104166666666666,0.8023958333333333,24,24,0
7,MMP_merge_then_adapt,0.6547743055555556,0.71625,0.71625,0.7024999999999999,24,24,0
7,BDP,0.6547743055555556,0.71625,0.6979166666666667,0.7009672619047619,24,24,0
7,BDP_bridge_to_far,0.6547743055555556,0.71625,0.71625,0.7624404761904762,24,24,0
8,MMP_merge_then_adapt,0.7306770833333333,0.7766666666666667,0.7766666666666667,0.7308333333333333,24,24,0
8,BDP,0.7306770833333333,0.7766666666666667,0.75125,0.7494128787878788,24,24,0
8,BDP_bridge_to_far,0.7306770833333333,0.7766666666666667,0.7558333333333334,0.8263541666666667,24,24,0
9,MMP_merge_then_adapt,0.700607638888889,0.7637499999999999,0.7637499999999999,0.7904166666666667,24,24,0
9,BDP,0.700607638888889,0.7637499999999999,0.7637499999999999,0.7577651515151516,24,24,0
9,BDP_bridge_to_far,0.700607638888889,0.7637499999999999,0.7637499999999999,0.7669642857142857,24,24,0
