subject,dataset,pipeline,feature,classifier,da,method_row,pair_id,target_id,seed_used,ci_alpha,code_protocol_version,feature_fit_protocol,dist_type,partition_mode,proxy_direction,borrowed_local_idx,borrowed_abs_idx,combiner,harmonize,score_mode,stage,local_idx,session_abs_idx,session_label,role,is_best,weight,dist_to_session,dist_est_method,dist_est,dist_lwr,dist_upr
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,0.0,1,1train,nearest,True,0.6482211695214317,0.0,direct,0.06044002900186813,0.03313016746422321,0.0994594905821629
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,anchor,0.0,1,1train,target,False,,0.0,direct,0.06044002900186813,0.03313016746422321,0.0994594905821629
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,final,0.0,1,1train,train,True,0.6482211695214317,0.0,direct,0.06044002900186813,0.03313016746422321,0.0994594905821629
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,1.0,2,2train,far,False,,0.0,direct,0.2239013947867906,0.17810409764646645,0.2732334197922663
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,anchor,1.0,2,2train,not_used,False,,0.0,direct,0.2239013947867906,0.17810409764646645,0.2732334197922663
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,final,1.0,2,2train,not_used,False,,0.0,direct,0.2239013947867906,0.17810409764646645,0.2732334197922663
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,2.0,3,3test,near,False,0.35177883047856834,0.0,direct,0.11137339525104302,0.07829907440589304,0.14486098283402749
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,anchor,2.0,3,3test,proxy_source,False,1.0,0.0,direct,0.11137339525104302,0.07829907440589304,0.14486098283402749
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,final,2.0,3,3test,train,False,0.35177883047856834,0.0,direct,0.11137339525104302,0.07829907440589304,0.14486098283402749
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,3.0,4,4test,far,False,,0.0,direct,0.3100825105902922,0.25649506364998065,0.3572654280740068
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,anchor,3.0,4,4test,not_used,False,,0.0,direct,0.3100825105902922,0.25649506364998065,0.3572654280740068
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,final,3.0,4,4test,not_used,False,,0.0,direct,0.3100825105902922,0.25649506364998065,0.3572654280740068
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,,0,0train,target,False,,,,,,
4,bnci004,MMP_moe,CSP,lda,none,0,0,0,3987,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,final,,0,0train,target,False,,,,,,
4,bnci004,MMP_moe,CSP,lda,none,0,1,1,4018,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,0.0,0,0train,nearest,True,0.4252766319291074,1.0,direct,0.07141252931184246,0.03674179370190703,0.10792405367820544
