subject,pair_id,target_session_abs_idx,target_session_label,train_local_idx,train_session_abs_idx,train_session_label,feature,dist_type,dist_est,dist_lwr,dist_upr,is_near_bridge,is_final_source,is_bdp_far_raw,is_bdp_proxy_source_fb,is_bdp_proxy_target_fb,is_mmp_proxy_source,is_mmp_proxy_target,is_best_nearest,degraded,partition_mode
5,0,0,0train,0,1,1train,CSP,mmd,0.17404255339807884,0.12418141218773575,0.22400797315689672,True,True,False,False,True,False,True,True,False,normal
5,0,0,0train,1,2,2train,CSP,mmd,0.224385427146559,0.16822996607904875,0.28123151000449,True,True,False,False,True,True,False,False,False,normal
5,0,0,0train,2,3,3test,CSP,mmd,0.39911263061796604,0.34368759175413716,0.46072650256465136,False,False,True,True,False,False,False,False,False,normal
5,0,0,0train,3,4,4test,CSP,mmd,0.3894520173137718,0.3284134867687515,0.4571575802683931,False,False,True,True,False,False,False,False,False,normal
5,0,0,0train,0,1,1train,logvar,mmd,0.1090011143502389,0.07767379676783827,0.1524143583415164,True,True,False,False,True,False,True,True,False,normal
5,0,0,0train,1,2,2train,logvar,mmd,0.30388202880612725,0.21463000239464222,0.3980949982717792,False,False,False,False,False,True,False,False,False,normal
5,0,0,0train,2,3,3test,logvar,mmd,0.5176248951991923,0.4228207295250678,0.6281799611412857,False,False,True,True,False,False,False,False,False,normal
5,0,0,0train,3,4,4test,logvar,mmd,0.48724145652126066,0.4014280779893159,0.5836997894726341,False,False,True,True,False,False,False,False,False,normal
5,0,0,0train,0,1,1train,TS,mmd,0.0848076680105458,0.06062126009337172,0.12092363777711408,True,True,False,False,True,False,True,True,False,normal
5,0,0,0train,1,2,2train,TS,mmd,0.2600152774643332,0.18609792270143782,0.3460094907691886,False,False,False,False,False,True,False,False,False,normal
5,0,0,0train,2,3,3test,TS,mmd,0.4495283325940781,0.3738902802606338,0.5516010561713496,False,False,True,True,False,False,False,False,False,normal
