subject,pipeline,method_row,pair_id,feature,classifier,da,baseline,acc_DA,target_session_abs_idx,target_session_label,train_session_abs_idx,final_source_local_idx,final_source_abs_idx,final_source_count,best_idx,near_bridge_idx,far_idx,partition_mode,degraded,mmp_proxy_mode
9,MMP_merge_then_adapt,0,0,CSP,lda,none,0.625,0.625,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP,0,0,CSP,lda,none,0.625,0.625,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP_bridge_to_far,0,0,CSP,lda,none,0.625,0.625,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,MMP_merge_then_adapt,1,0,CSP,lda,sa,0.625,0.6583333333333333,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP,1,0,CSP,lda,sa,0.625,0.6583333333333333,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP_bridge_to_far,1,0,CSP,lda,sa,0.625,0.6583333333333333,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,MMP_merge_then_adapt,2,0,CSP,lda,pt,0.625,0.65,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP,2,0,CSP,lda,pt,0.625,0.65,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP_bridge_to_far,2,0,CSP,lda,pt,0.625,0.65,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,MMP_merge_then_adapt,3,0,CSP,lda,coral,0.625,0.6583333333333333,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP,3,0,CSP,lda,coral,0.625,0.6583333333333333,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP_bridge_to_far,3,0,CSP,lda,coral,0.625,0.6583333333333333,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,MMP_merge_then_adapt,4,0,CSP,svm_radial,none,0.6416666666666667,0.6416666666666667,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP,4,0,CSP,svm_radial,none,0.6416666666666667,0.6416666666666667,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP_bridge_to_far,4,0,CSP,svm_radial,none,0.6416666666666667,0.6416666666666667,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,MMP_merge_then_adapt,5,0,CSP,svm_radial,sa,0.6416666666666667,0.6166666666666667,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP,5,0,CSP,svm_radial,sa,0.6416666666666667,0.6166666666666667,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP_bridge_to_far,5,0,CSP,svm_radial,sa,0.6416666666666667,0.6166666666666667,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,MMP_merge_then_adapt,6,0,CSP,svm_radial,pt,0.6416666666666667,0.625,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP,6,0,CSP,svm_radial,pt,0.6416666666666667,0.625,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP_bridge_to_far,6,0,CSP,svm_radial,pt,0.6416666666666667,0.625,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,MMP_merge_then_adapt,7,0,CSP,svm_radial,coral,0.6416666666666667,0.7083333333333334,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP,7,0,CSP,svm_radial,coral,0.6416666666666667,0.7083333333333334,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP_bridge_to_far,7,0,CSP,svm_radial,coral,0.6416666666666667,0.7083333333333334,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,MMP_merge_then_adapt,8,0,logvar,lda,none,0.65,0.65,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP,8,0,logvar,lda,none,0.65,0.65,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP_bridge_to_far,8,0,logvar,lda,none,0.65,0.65,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,MMP_merge_then_adapt,9,0,logvar,lda,sa,0.65,0.6416666666666667,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP,9,0,logvar,lda,sa,0.65,0.6416666666666667,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP_bridge_to_far,9,0,logvar,lda,sa,0.65,0.6416666666666667,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,MMP_merge_then_adapt,10,0,logvar,lda,pt,0.65,0.575,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP,10,0,logvar,lda,pt,0.65,0.575,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP_bridge_to_far,10,0,logvar,lda,pt,0.65,0.575,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,MMP_merge_then_adapt,11,0,logvar,lda,coral,0.65,0.5,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
9,BDP,11,0,logvar,lda,coral,0.65,0.5,0,0train,"[1, 2, 3, 4]",[0],[1],1,0,[0],"[1, 3]",normal,False,second_nearest_fallback
