subject,dataset,pipeline,feature,classifier,da,method_row,pair_id,target_id,seed_used,dist_type,partition_mode,proxy_direction,borrowed_local_idx,borrowed_abs_idx,combiner,harmonize,score_mode,stage,local_idx,session_abs_idx,session_label,role,is_best,weight,dist_to_session,dist_est_method,dist_est,dist_lwr,dist_upr
5,stieger2021,BDP,CSP,lda,none,0,0,,3766,mmd,,far_to_bridge,,,,,map_kfold,selection,0.0,1.0,sess_0,available,False,,,boot_mean,0.1092631137307519,0.09725300644717735,0.12752239245890667
5,stieger2021,BDP,CSP,lda,none,0,0,,3766,mmd,,far_to_bridge,,,,,map_kfold,proxy,0.0,1.0,sess_0,not_used,False,,,boot_mean,0.1092631137307519,0.09725300644717735,0.12752239245890667
5,stieger2021,BDP,CSP,lda,none,0,0,,3766,mmd,,far_to_bridge,,,,,map_kfold,final,0.0,1.0,sess_0,train,False,,,boot_mean,0.1092631137307519,0.09725300644717735,0.12752239245890667
5,stieger2021,BDP,CSP,lda,none,0,0,,3766,mmd,,far_to_bridge,,,,,map_kfold,selection,1.0,2.0,sess_1,available,False,,,boot_mean,0.1288687999706298,0.11376206565968373,0.1480274964124595
5,stieger2021,BDP,CSP,lda,none,0,0,,3766,mmd,,far_to_bridge,,,,,map_kfold,proxy,1.0,2.0,sess_1,not_used,False,,,boot_mean,0.1288687999706298,0.11376206565968373,0.1480274964124595
5,stieger2021,BDP,CSP,lda,none,0,0,,3766,mmd,,far_to_bridge,,,,,map_kfold,final,1.0,2.0,sess_1,train,False,,,boot_mean,0.1288687999706298,0.11376206565968373,0.1480274964124595
5,stieger2021,BDP,CSP,lda,none,0,0,,3766,mmd,,far_to_bridge,,,,,map_kfold,selection,2.0,3.0,sess_2,available,True,,,boot_mean,0.10859332199379647,0.09623195330287235,0.12312381071652236
5,stieger2021,BDP,CSP,lda,none,0,0,,3766,mmd,,far_to_bridge,,,,,map_kfold,proxy,2.0,3.0,sess_2,not_used,False,,,boot_mean,0.10859332199379647,0.09623195330287235,0.12312381071652236
5,stieger2021,BDP,CSP,lda,none,0,0,,3766,mmd,,far_to_bridge,,,,,map_kfold,final,2.0,3.0,sess_2,train,True,,,boot_mean,0.10859332199379647,0.09623195330287235,0.12312381071652236
5,stieger2021,BDP,CSP,lda,none,0,0,,3766,mmd,,far_to_bridge,,,,,map_kfold,selection,3.0,4.0,sess_3,available,False,,,boot_mean,0.1426860617656568,0.11577774295290194,0.17324900582653238
5,stieger2021,BDP,CSP,lda,none,0,0,,3766,mmd,,far_to_bridge,,,,,map_kfold,proxy,3.0,4.0,sess_3,not_used,False,,,boot_mean,0.1426860617656568,0.11577774295290194,0.17324900582653238
