subject,dataset,pipeline,feature,classifier,da,method_row,pair_id,target_id,seed_used,dist_type,partition_mode,proxy_direction,borrowed_local_idx,borrowed_abs_idx,combiner,harmonize,score_mode,stage,local_idx,session_abs_idx,session_label,role,is_best,weight,dist_to_session,dist_est_method,dist_est,dist_lwr,dist_upr
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,selection,0.0,1,2,bridge,True,,0.0,boot_mean,0.13089340175328967,0.10136277284688602,0.16697615315307943
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,proxy,0.0,1,2,proxy_source,False,,0.0,boot_mean,0.13089340175328967,0.10136277284688602,0.16697615315307943
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,final,0.0,1,2,train,True,,0.0,boot_mean,0.13089340175328967,0.10136277284688602,0.16697615315307943
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,selection,1.0,2,3,far,False,,0.0,boot_mean,0.22886412136389275,0.18099567460194216,0.2754873720061096
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,proxy,1.0,2,3,proxy_target,False,,0.0,boot_mean,0.22886412136389275,0.18099567460194216,0.2754873720061096
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,final,1.0,2,3,not_used,False,,0.0,boot_mean,0.22886412136389275,0.18099567460194216,0.2754873720061096
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,selection,2.0,3,4,bridge,False,,0.0,boot_mean,0.1955024992421061,0.1440198994393908,0.2599207765544285
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,proxy,2.0,3,4,proxy_source,False,,0.0,boot_mean,0.1955024992421061,0.1440198994393908,0.2599207765544285
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,final,2.0,3,4,train,False,,0.0,boot_mean,0.1955024992421061,0.1440198994393908,0.2599207765544285
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,selection,3.0,4,5,far,False,,0.0,boot_mean,0.22890727870709646,0.1869014527975012,0.2749618055494689
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,proxy,3.0,4,5,proxy_target,False,,0.0,boot_mean,0.22890727870709646,0.1869014527975012,0.2749618055494689
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,final,3.0,4,5,not_used,False,,0.0,boot_mean,0.22890727870709646,0.1869014527975012,0.2749618055494689
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,selection,4.0,5,6,dropped,False,,0.0,boot_mean,0.21743803033443115,0.17667738250591822,0.2728254785262779
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,proxy,4.0,5,6,not_used,False,,0.0,boot_mean,0.21743803033443115,0.17667738250591822,0.2728254785262779
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,final,4.0,5,6,not_used,False,,0.0,boot_mean,0.21743803033443115,0.17667738250591822,0.2728254785262779
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,selection,5.0,6,7,far,False,,0.0,boot_mean,0.2323676314911615,0.18224827863029663,0.3104055539922414
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,proxy,5.0,6,7,proxy_target,False,,0.0,boot_mean,0.2323676314911615,0.18224827863029663,0.3104055539922414
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,final,5.0,6,7,not_used,False,,0.0,boot_mean,0.2323676314911615,0.18224827863029663,0.3104055539922414
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,selection,,0,1,target,False,,,,,,
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,0,0,5638,mmd,normal,bridge_to_far,,,,,bridge_proxy,final,,0,1,target,False,,,,,,
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,selection,0.0,0,1,bridge,False,,1.0,boot_mean,0.14269191342803547,0.11188114305247453,0.17582004403177384
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,proxy,0.0,0,1,proxy_source,False,,1.0,boot_mean,0.14269191342803547,0.11188114305247453,0.17582004403177384
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,final,0.0,0,1,train,False,,1.0,boot_mean,0.14269191342803547,0.11188114305247453,0.17582004403177384
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,selection,1.0,2,3,bridge,False,,1.0,boot_mean,0.13896653168252227,0.10905257223967749,0.17134147249942946
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,proxy,1.0,2,3,proxy_source,False,,1.0,boot_mean,0.13896653168252227,0.10905257223967749,0.17134147249942946
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,final,1.0,2,3,train,False,,1.0,boot_mean,0.13896653168252227,0.10905257223967749,0.17134147249942946
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,selection,2.0,3,4,bridge,False,,1.0,boot_mean,0.11749139396264108,0.08358315578313269,0.16474782037055252
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,proxy,2.0,3,4,proxy_source,False,,1.0,boot_mean,0.11749139396264108,0.08358315578313269,0.16474782037055252
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,final,2.0,3,4,train,False,,1.0,boot_mean,0.11749139396264108,0.08358315578313269,0.16474782037055252
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,selection,3.0,4,5,bridge,True,,1.0,boot_mean,0.11539144739732077,0.0965138167433441,0.14023456535214265
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,proxy,3.0,4,5,proxy_source,False,,1.0,boot_mean,0.11539144739732077,0.0965138167433441,0.14023456535214265
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,final,3.0,4,5,train,True,,1.0,boot_mean,0.11539144739732077,0.0965138167433441,0.14023456535214265
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,selection,4.0,5,6,far,False,,1.0,boot_mean,0.16537298445744544,0.14147218119672297,0.1930202485858073
52,stieger2021,BDP_bridge_to_far,CSP,lda,none,0,1,1,5669,mmd,normal,bridge_to_far,,,,,bridge_proxy,proxy,4.0,5,6,proxy_target,False,,1.0,boot_mean,0.16537298445744544,0.14147218119672297,0.1930202485858073
